id,content,metadata
1,"人工智能的发展可以追溯到20世纪50年代，达特茅斯会议被视为人工智能诞生的标志。早期的AI研究主要集中在逻辑推理和符号处理上，如1956年提出的通用问题求解器（GPSS）。20世纪80年代，专家系统（如MYCIN用于医疗诊断）取得突破。近十年，深度学习（如CNN、Transformer）因海量数据和GPU加速而兴起，推动了大模型（如ChatGPT、LLaMA）的发展。AI应用已渗透到自然语言处理（NLP）、计算机视觉和自动驾驶等领域。","domain:技术,subdomain:人工智能,length:200,created_at:2023-01-15"
2,"清朝乾隆年间（1736-1795年），康熙帝的孙子乾隆帝统治时期，是中国历史上人口最多、经济最繁荣的时期之一。乾隆帝本人文治有方，但晚年过度征战（如平定金川、准噶尔）导致财政困难。1793年，英国使节马戛尔尼访华，乾隆帝以‘天朝上国’姿态拒绝平等外交，标志着中国传统闭关锁国政策的顶点。乾隆年间，四库全书编纂完成，汇集了古代典籍，对后世文化影响深远。","domain:历史,subdomain:中国近代史,length:180,created_at:2023-02-20"
3,"DNA双螺旋结构由沃森和克里克于1953年提出，基于罗莎琳·富兰克林的X射线衍射图像。DNA由四种核苷酸组成：腺嘌呤（A）、胞嘧啶（C）、鸟嘌呤（G）、胸腺嘧啶（T），遵循A-T、C-G配对规则。遗传信息存储在DNA序列中，通过转录和翻译过程表达为蛋白质。近年，基因编辑技术（如CRISPR-Cas9）使得精准修改DNA成为可能，开启了‘设计婴儿’和治疗遗传病的新纪元。","domain:科学,subdomain:生物学,length:160,created_at:2023-03-10"
4,"《红楼梦》是中国古典四大名著之一，作者曹雪芹生前未完成，高鹗续作。全书以贾家由盛到衰为线索，通过贾宝玉和林黛玉、薛宝钗的爱情故事，批判封建制度和腐朽家庭。名句‘满纸荒唐言，一把辛酸泪’道出作者对人生的悲悯。红楼梦的艺术成就包括‘满纸荒唐言’的叙事风格、‘情真意切’的人物塑造和‘满纸荒唐言’的语言魅力。现代学者如鲁迅、胡适对其评价极高。","domain:文学,subdomain:古典小说,length:150,created_at:2023-04-05"
5,"区块链技术于2008年由中本聪（Satoshi Nakamoto）提出，作为比特币的底层技术。其核心特点包括去中心化、不可篡改和透明度。区块链通过‘工作量证明’（PoW）或‘权益证明’（PoS）机制确保安全。以太坊（Ethereum）于2015年推出，引入智能合约，使区块链应用超越数字货币。近年，DeFi（去中心化金融）、NFT（非同质化代币）和Web3概念兴起，但也面临能源消耗和监管挑战。","domain:技术,subdomain:区块链,length:140,created_at:2023-05-18"
6,"哥白尼的《天体运行论》（1543年）提出‘日心说’，动摇了地心说的统治地位。伽利略通过望远镜观测发现木星卫星和月球表面的山脉，支持哥白尼理论。牛顿的《自然哲学的数学原理》（1687年）建立了经典力学体系，解释了行星运动。爱因斯坦的广义相对论（1915年）进一步描述了引力和时空弯曲。现代天文学依赖于哈勃望远镜和詹姆斯·韦伯空间望远镜，发现了系外行星和暗物质的证据。","domain:科学,subdomain:天文学,length:170,created_at:2023-06-22"
7,"Python是一种高级、解释型、面向对象的程序设计语言，于1991年由Guido van Rossum创建。其设计理念强调‘可读性’和‘简洁性’，凭借丰富的标准库（如Django、Flask）和第三方库（如TensorFlow、Pandas）成为最受欢迎的编程语言。Python广泛应用于数据科学、机器学习、自动化和网络爬虫。其动态类型和垃圾回收机制使其易于快速原型开发。","domain:技术,subdomain:编程语言,length:130,created_at:2023-07-10"
8,"蒙昧时代（约公元前200万年-公元前1万年）是人类历史的第一阶段，以石器的使用为标志。旧石器时代（约200万年前-1万年前）出现了早期人类（如能人、智人）和洞穴艺术（如拉斯科洞窟）。新石器革命（约1万年前）标志着农业和定居生活的诞生，如中国的半坡文化和西欧的新石器时代村落。青铜器时代（约4000年前）见证了城市文明的兴起（如苏美尔、古埃及）。","domain:历史,subdomain:远古史,length:120,created_at:2023-08-15"
9,"量子力学是20世纪最具革命性的物理理论之一，由海森堡、薛定谔和狄拉克等人发展。其核心概念包括‘波函数’、‘量子叠加’和‘纠缠态’。1927年的‘哥本哈根解释’由玻尔提出，解释了测量问题。量子计算机利用量子比特（qubit）实现并行计算，潜在应用包括密码破解和药物设计。2023年，谷歌宣布实现‘量子优越性’。","domain:科学,subdomain:物理学,length:110,created_at:2023-09-03"
10,"《堂吉诃德》是西班牙作家塞万提斯的代表作，于1605年和1615年分两部出版。故事围绕骑士堂吉诃德和忠实侍从桑丘·潘萨的冒险展开，讽刺了中世纪骑士文学和社会弊端。堂吉诃德的‘风车攻击’成为‘愚蠢行动’的象征。作品语言幽默、多样，融合了西班牙语和拉丁语。现代文学评论将其视为‘现代小说之父’。","domain:文学,subdomain:西方文学,length:140,created_at:2023-10-20"
